landmarkId, name, language
1, Domtoren, nl
2, Anne Frank Huis, nl
2, Anne-Frank-Haus, de
3, Rijksmuseum, nl
4, Eiffeltoren, nl
5, Rietveld Schröder Huis, nl
6, Koninklijk Paleis van Brussel, nl
7, Hallepoort, nl
14, Kasteel van Versailles, nl
17, Toren van Pisa, nl
20, Piramiden van Gizeh, nl
21, Christus de Verlosser, nl
28, Vrijheidsbeeld, nl
23, Brandenburger Tor, nl
37, Trevifontein, nl
38, Sint-Pietersbasiliek, nl
39, Chinese Muur, nl
4, Tour Eiffel, fr
4, Eiffelturm, de
4, Torre Eiffel, es
4, Torre Eiffel, it
